Player,ESPN,CBS,Mean,Count
Le'Veon Bell,1,2,1.5,2
Todd Gurley,2,1,1.5,2
David Johnson,3,4,3.5,2
Ezekiel Elliott,4,3,3.5,2
Antonio Brown,5,5,5,2
Saquon Barkley,6,7,6.5,2
Alvin Kamara,7,9,8,2
DeAndre Hopkins,10,6,8,2
Kareem Hunt,11,8,9.5,2
Julio Jones,8,13,10.5,2
Odell Beckham,9,12,10.5,2
Leonard Fournette,12,11,11.5,2
Melvin Gordon,14,10,12,2
Dalvin Cook,13,14,13.5,2
Keenan Allen,15,15,15,2
Michael Thomas,16,16,16,2
A.J. Green,18,17,17.5,2
Rob Gronkowski,20,19,19.5,2
Davante Adams,21,18,19.5,2
Devonta Freeman,17,24,20.5,2
Mike Evans,22,20,21,2
Jordan Howard,19,25,22,2
T.Y. Hilton,25,21,23,2
Travis Kelce,29,22,25.5,2
Christian McCaffrey,23,31,27,2
Zach Ertz,30,27,28.5,2
Jerick McKinnon,37,23,30,2
Stefon Diggs,28,35,31.5,2
Larry Fitzgerald,24,40,32,2
Joe Mixon,38,26,32,2
Tyreek Hill,31,36,33.5,2
Adam Thielen,26,42,34,2
Amari Cooper,35,33,34,2
Doug Baldwin,27,44,35.5,2
Demaryius Thomas,39,32,35.5,2
Allen Robinson,32,41,36.5,2
LeSean McCoy,36,37,36.5,2
Josh Gordon,33,43,38,2
Kenyan Drake,43,34,38.5,2
Alex Collins,47,30,38.5,2
Derrick Henry,49,28,38.5,2
Derrius Guice,45,38,41.5,2
Aaron Rodgers,56,29,42.5,2
Rashaad Penny,48,39,43.5,2
Alshon Jeffery,34,54,44,2
Royce Freeman,44,51,47.5,2
JuJu Smith-Schuster,51,45,48,2
Marvin Jones,41,55,48,2
Ronald Jones,46,50,48,2
Jay Ajayi,50,52,51,2
Tom Brady,57,48,52.5,2
Lamar Miller,60,47,53.5,2
Golden Tate,42,67,54.5,2
Jarvis Landry,53,61,57,2
Brandin Cooks,40,75,57.5,2
Sony Michel,58,58,58,2
Marshawn Lynch,55,64,59.5,2
Robert Woods,52,70,61,2
Greg Olsen,77,46,61.5,2
Michael Crabtree,65,60,62.5,2
Chris Hogan,70,57,63.5,2
Corey Davis,62,68,65,2
Tevin Coleman,61,71,66,2
Sammy Watkins,71,63,67,2
Pierre Garcon,63,73,68,2
Emmanuel Sanders,54,83,68.5,2
Kerryon Johnson,85,53,69,2
Randall Cobb,75,69,72,2
Deshaun Watson,69,76,72.5,2
Mark Ingram,97,49,73,2
Marlon Mack,87,59,73,2
Dion Lewis,80,66,73,2
Isaiah Crowell,59,89,74,2
Rex Burkhead,83,65,74,2
Cam Newton,66,84,75,2
Will Fuller,73,77,75,2
Jamaal Williams,94,56,75,2
Julian Edelman,93,62,77.5,2
Russell Wilson,68,88,78,2
Carson Wentz,67,91,79,2
Kenny Stills,74,85,79.5,2
Cooper Kupp,88,74,81,2
Robby Anderson,81,82,81.5,2
Jimmy Graham,84,80,82,2
Delanie Walker,78,86,82,2
Kelvin Benjamin,72,97,84.5,2
Devin Funchess,64,107,85.5,2
Jamison Crowder,101,72,86.5,2
Evan Engram,79,95,87,2
Carlos Hyde,86,90,88,2
DeVante Parker,89,87,88,2
Marquise Goodwin,82,100,91,2
Trey Burton,110,78,94,2
Tarik Cohen,96,93,94.5,2
Kyle Rudolph,99,92,95.5,2
Andrew Luck,117,79,98,2
DJ Moore,,98,98,1
Rishard Matthews,102,94,98,2
Jordan Reed,90,110,100,2
Nelson Agholor,106,99,102.5,2
Allen Hurns,104,102,103,2
Nick Chubb,98,109,103.5,2
Duke Johnson,95,114,104.5,2
Drew Brees,128,81,104.5,2
Josh Doctson,76,134,105,2
C.J. Anderson,108,103,105.5,2
Jordy Nelson,105,111,108,2
Chris Thompson,100,116,108,2
Giovani Bernard,112,105,108.5,2
Sterling Shepard,91,126,108.5,2
Ben Roethlisberger,118,101,109.5,2
Marqise Lee,115,106,110.5,2
Kenny Golladay,103,120,111.5,2
Ty Montgomery,109,115,112,2
Chris Carson,107,123,115,2
Kirk Cousins,119,119,119,2
DeSean Jackson,92,148,120,2
Tyler Lockett,124,117,120.5,2
D.J. Moore,121,,121,1
Devontae Booker,149,96,122.5,2
Michael Gallup,125,122,123.5,2
Jordan Wilkins,114,133,123.5,2
Matthew Stafford,127,121,124,2
Dez Bryant,130,118,124,2
Cameron Meredith,122,128,125,2
Calvin Ridley,126,129,127.5,2
Matt Breida,152,104,128,2
Jordan Matthews,129,,129,1
Mike Williams,146,112,129,2
Jack Doyle,120,139,129.5,2
Paul Richardson,116,143,129.5,2
Patrick Mahomes,134,125,129.5,2
John Ross,131,,131,1
Aaron Jones,155,108,131.5,2
Jimmy Garoppolo,137,127,132,2
David Njoku,111,155,133,2
Anthony Miller,142,124,133,2
Latavius Murray,113,156,134.5,2
Matt Ryan,138,132,135,2
George Kittle,136,141,138.5,2
Philip Rivers,135,144,139.5,2
Corey Clement,167,113,140,2
Mohamed Sanu,123,158,140.5,2
LeGarrette Blount,153,131,142,2
Zay Jones,143,,143,1
James Washington,144,,144,1
Nyheim Hines,150,138,144,2
Marcus Mariota,140,151,145.5,2
Doug Martin,151,146,148.5,2
Martavis Bryant,132,166,149,2
Danny Amendola,141,159,150,2
Alex Smith,139,167,153,2
James White,147,160,153.5,2
Jared Goff,163,147,155,2
Donte Moncrief,145,165,155,2
Charles Clay,133,178,155.5,2
Mike Wallace,159,153,156,2
Terrelle Pryor,160,,160,1
Darren Sproles,161,,161,1
Theo Riddick,148,176,162,2
D'Onta Foreman,194,130,162,2
Chester Rogers,,163,163,1
Chris Godwin,165,,165,1
Christian Kirk,158,173,165.5,2
John Brown,169,164,166.5,2
Kenneth Dixon,154,181,167.5,2
Mitchell Trubisky,168,169,168.5,2
Dak Prescott,162,175,168.5,2
Bilal Powell,193,145,169,2
Jaguars,156,183,169.5,2
Peyton Barber,203,137,170,2
Eagles,170,,170,1
Tyler Eifert,157,185,171,2
Texans,173,,173,1
Ravens,174,,174,1
Greg Zuerlein,175,,175,1
Stephen Gostkowski,176,,176,1
Keelan Cole,217,136,176.5,2
Justin Tucker,177,,177,1
Patriots,178,,178,1
Austin Seferian-Jenkins,166,191,178.5,2
Rams,171,186,178.5,2
Chargers,179,,179,1
Cameron Brate,164,194,179,2
Broncos,180,,180,1
Saints,181,,181,1
Ted Ginn,214,150,182,2
Titans,182,,182,1
Benjamin Watson,197,168,182.5,2
Panthers,183,,183,1
Matt Bryant,184,,184,1
Wil Lutz,185,,185,1
Chris Boswell,186,,186,1
Vikings,172,200,186,2
Quincy Enunwa,230,142,186,2
Robbie Gould,187,,187,1
Austin Ekeler,199,177,188,2
Jake Elliott,188,,188,1
Matt Prater,189,,189,1
Brandon Marshall,225,154,189.5,2
Tyrell Williams,218,162,190,2
Harrison Butker,190,,190,1
Adaminatieri,191,,191,1
Eli Manning,243,140,191.5,2
Graham Gano,192,,192,1
Frank Gore,202,182,192,2
Samaje Perine,,193,193,1
Albert Wilson,213,174,193.5,2
Spencer Ware,200,188,194,2
Javorius Allen,206,184,195,2
Chris Ivory,195,,195,1
Eric Ebron,211,180,195.5,2
Vance McDonald,196,,196,1
Jameis Winston,244,149,196.5,2
John Kelly,208,189,198.5,2
Jared Cook,198,199,198.5,2
T.J. Yeldon,207,192,199.5,2
Ricky Seals-Jones,247,152,199.5,2
Tyrod Taylor,212,187,199.5,2
Chase Edmonds,201,,201,1
Taywan Taylor,233,171,202,2
Derek Carr,245,161,203,2
Geronimo Allison,272,135,203.5,2
Elijah McGuire,204,,204,1
O.J. Howard,210,198,204,2
Jonathan Stewart,205,,205,1
Keke Coutee,234,179,206.5,2
C.J. Prosise,209,,209,1
Kalen Ballage,264,157,210.5,2
Terrance Williams,215,,215,1
Willie Snead,216,,216,1
James Conner,242,190,216,2
Dede Westbrook,263,170,216.5,2
Andy Dalton,219,,219,1
Ryan Tannehill,220,,220,1
Redskins,221,,221,1
Cardinals,222,,222,1
Dan Bailey,223,,223,1
Ryan Succop,224,,224,1
Courtland Sutton,226,,226,1
Deon Cain,227,,227,1
Hayden Hurst,259,197,228,2
Dante Pettis,284,172,228,2
Travis Benjamin,228,,228,1
Adam Humphries,229,,229,1
Ryan Grant,231,,231,1
Jermaine Kearse,232,,232,1
Trent Taylor,271,196,233.5,2
Corey Grant,235,,235,1
Alfred Blue,236,,236,1
Mark Walton,237,,237,1
Jeremy Hill,281,195,238,2
Tavon Austin,238,,238,1
Charles Sims,239,,239,1
Wayne Gallman,240,,240,1
Joe Williams,241,,241,1
Austin Hooper,246,,246,1
Antonio Gates,248,,248,1
Mike Gesicki,249,,249,1
De'Angelo Henderson,250,,250,1
D.J. Chark,251,,251,1
Curtis Samuel,252,,252,1
Falcons,253,,253,1
Cowboys,254,,254,1
Daniel Carlson,255,,255,1
Mason Crosby,256,,256,1
Ryan Griffin,257,,257,1
Gerald Everett,258,,258,1
Brandon LaFell,260,,260,1
Kendall Wright,261,,261,1
Taylor Gabriel,262,,262,1
Terrance West,265,,265,1
Case Keenum,266,,266,1
Blake Bortles,267,,267,1
Joe Flacco,268,,268,1
Sam Bradford,269,,269,1
Josh McCown,270,,270,1
Cole Beasley,273,,273,1
J.J. Nelson,274,,274,1
DaeSean Hamilton,275,,275,1
Boston Scott,276,,276,1
Jaylen Samuels,277,,277,1
Damien Williams,278,,278,1
T.J. Logan,279,,279,1
Mike Gillislee,280,,280,1
Rod Smith,282,,282,1
Justin Jackson,283,,283,1
Packers,285,,285,1
Bears,286,,286,1
Josh Lambo,287,,287,1
Dustin Hopkins,288,,288,1
Jake Butt,289,,289,1
Virgil Green,290,,290,1
Vernon Davis,291,,291,1
Tyler Kroft,292,,292,1
Rico Gathers,293,,293,1
Amara Darboh,294,,294,1
Corey Coleman,295,,295,1
AJ McCarron,296,,296,1
Bengals,297,,297,1
Lions,298,,298,1
Chiefs,299,,299,1
Seahawks,300,,300,1